Mst.-ID;Kurzname;Name;Datum;Abstich (m unter MP);Wasserspiegel (m ü. NN);Wasserspiegel (m unter GOK);Wassertemperatur (°C);
13432;544193;LAMPERTHEIM;Nov 5, 1973;4.01;86.54;3.87;0;
13432;544193;LAMPERTHEIM;Nov 12, 1973;4.04;86.51;3.9;0;
13432;544193;LAMPERTHEIM;Nov 19, 1973;4.02;86.53;3.88;0;
13432;544193;LAMPERTHEIM;Nov 26, 1973;3.89;86.66;3.75;0;
13432;544193;LAMPERTHEIM;Dec 3, 1973;3.85;86.7;3.71;0;
13432;544193;LAMPERTHEIM;Dec 10, 1973;3.83;86.72;3.69;0;
13432;544193;LAMPERTHEIM;Dec 17, 1973;3.75;86.8;3.61;0;
13432;544193;LAMPERTHEIM;Dec 24, 1973;3.65;86.9;3.51;0;
13432;544193;LAMPERTHEIM;Dec 31, 1973;3.65;86.9;3.51;0;
13432;544193;LAMPERTHEIM;Jan 7, 1974;3.69;86.86;3.55;0;
13432;544193;LAMPERTHEIM;Jan 14, 1974;3.75;86.8;3.61;0;
13432;544193;LAMPERTHEIM;Jan 21, 1974;3.75;86.8;3.61;0;
13432;544193;LAMPERTHEIM;Jan 28, 1974;3.71;86.84;3.57;0;
13432;544193;LAMPERTHEIM;Feb 4, 1974;3.75;86.8;3.61;0;
13432;544193;LAMPERTHEIM;Feb 11, 1974;3.74;86.81;3.6;0;
13432;544193;LAMPERTHEIM;Feb 18, 1974;3.71;86.84;3.57;0;
13432;544193;LAMPERTHEIM;Feb 25, 1974;3.77;86.78;3.63;0;
13432;544193;LAMPERTHEIM;Mar 4, 1974;3.77;86.78;3.63;0;
13432;544193;LAMPERTHEIM;Mar 11, 1974;3.8;86.75;3.66;0;
13432;544193;LAMPERTHEIM;Mar 18, 1974;3.83;86.72;3.69;0;
13432;544193;LAMPERTHEIM;Mar 25, 1974;3.82;86.73;3.68;0;
13432;544193;LAMPERTHEIM;Apr 1, 1974;3.82;86.73;3.68;0;
13432;544193;LAMPERTHEIM;Apr 8, 1974;3.85;86.7;3.71;0;
13432;544193;LAMPERTHEIM;Apr 15, 1974;3.87;86.68;3.73;0;
13432;544193;LAMPERTHEIM;Apr 22, 1974;3.88;86.67;3.74;0;
13432;544193;LAMPERTHEIM;Apr 29, 1974;3.9;86.65;3.76;0;
13432;544193;LAMPERTHEIM;May 6, 1974;3.89;86.66;3.75;0;
13432;544193;LAMPERTHEIM;May 13, 1974;3.95;86.6;3.81;0;
13432;544193;LAMPERTHEIM;May 20, 1974;3.98;86.57;3.84;0;
13432;544193;LAMPERTHEIM;May 27, 1974;4.02;86.53;3.88;0;
13432;544193;LAMPERTHEIM;Jun 3, 1974;4.04;86.51;3.9;0;
13432;544193;LAMPERTHEIM;Jun 10, 1974;4.03;86.52;3.89;0;
13432;544193;LAMPERTHEIM;Jun 17, 1974;4.04;86.51;3.9;0;
13432;544193;LAMPERTHEIM;Jun 24, 1974;4.03;86.52;3.89;0;
13432;544193;LAMPERTHEIM;Jul 1, 1974;4.05;86.5;3.91;0;
13432;544193;LAMPERTHEIM;Jul 8, 1974;4.02;86.53;3.88;0;
13432;544193;LAMPERTHEIM;Jul 15, 1974;3.99;86.56;3.85;0;
13432;544193;LAMPERTHEIM;Jul 22, 1974;3.99;86.56;3.85;0;
13432;544193;LAMPERTHEIM;Jul 29, 1974;3.94;86.61;3.8;0;
13432;544193;LAMPERTHEIM;Aug 5, 1974;3.91;86.64;3.77;0;
13432;544193;LAMPERTHEIM;Aug 12, 1974;3.94;86.61;3.8;0;
13432;544193;LAMPERTHEIM;Aug 19, 1974;3.96;86.59;3.82;0;
13432;544193;LAMPERTHEIM;Aug 26, 1974;3.98;86.57;3.84;0;
13432;544193;LAMPERTHEIM;Sep 2, 1974;4;86.55;3.86;0;
13432;544193;LAMPERTHEIM;Sep 9, 1974;4.03;86.52;3.89;0;
13432;544193;LAMPERTHEIM;Sep 16, 1974;4.06;86.49;3.92;0;
13432;544193;LAMPERTHEIM;Sep 23, 1974;4.09;86.46;3.95;0;
13432;544193;LAMPERTHEIM;Sep 30, 1974;4.13;86.42;3.99;0;
13432;544193;LAMPERTHEIM;Oct 7, 1974;4.15;86.4;4.01;0;
13432;544193;LAMPERTHEIM;Oct 14, 1974;4.16;86.39;4.02;0;
13432;544193;LAMPERTHEIM;Oct 21, 1974;4.15;86.4;4.01;0;
13432;544193;LAMPERTHEIM;Oct 28, 1974;4.02;86.53;3.88;0;
13432;544193;LAMPERTHEIM;Nov 4, 1974;3.8;86.75;3.66;0;
13432;544193;LAMPERTHEIM;Nov 11, 1974;3.62;86.93;3.48;0;
13432;544193;LAMPERTHEIM;Nov 18, 1974;3.55;87;3.41;0;
