Mst.-ID;Kurzname;Name;Datum;Abstich (m unter MP);Wasserspiegel (m ü. NN);Wasserspiegel (m unter GOK);Wassertemperatur (°C);
12900;544109;GROSS-ROHRHEIM;Dec 6, 1943;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Dec 13, 1943;0.96;87.05;0.76;0;
12900;544109;GROSS-ROHRHEIM;Dec 20, 1943;0.96;87.05;0.76;0;
12900;544109;GROSS-ROHRHEIM;Dec 27, 1943;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Jan 3, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Jan 10, 1944;0.96;87.05;0.76;0;
12900;544109;GROSS-ROHRHEIM;Jan 17, 1944;0.97;87.04;0.77;0;
12900;544109;GROSS-ROHRHEIM;Jan 24, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Jan 31, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Feb 7, 1944;0.98;87.03;0.78;0;
12900;544109;GROSS-ROHRHEIM;Feb 14, 1944;0.97;87.04;0.77;0;
12900;544109;GROSS-ROHRHEIM;Feb 21, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Feb 28, 1944;0.99;87.02;0.79;0;
12900;544109;GROSS-ROHRHEIM;Mar 6, 1944;0.99;87.02;0.79;0;
12900;544109;GROSS-ROHRHEIM;Mar 13, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Mar 20, 1944;0.98;87.03;0.78;0;
12900;544109;GROSS-ROHRHEIM;Mar 27, 1944;0.99;87.02;0.79;0;
12900;544109;GROSS-ROHRHEIM;Apr 3, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Apr 10, 1944;0.98;87.03;0.78;0;
12900;544109;GROSS-ROHRHEIM;Apr 17, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Apr 24, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;May 1, 1944;0.97;87.04;0.77;0;
12900;544109;GROSS-ROHRHEIM;May 8, 1944;0.98;87.03;0.78;0;
12900;544109;GROSS-ROHRHEIM;May 15, 1944;0.99;87.02;0.79;0;
12900;544109;GROSS-ROHRHEIM;May 22, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;May 29, 1944;0.99;87.02;0.79;0;
12900;544109;GROSS-ROHRHEIM;Jun 5, 1944;0.96;87.05;0.76;0;
12900;544109;GROSS-ROHRHEIM;Jun 12, 1944;0.99;87.02;0.79;0;
12900;544109;GROSS-ROHRHEIM;Jun 19, 1944;0.96;87.05;0.76;0;
12900;544109;GROSS-ROHRHEIM;Jun 26, 1944;0.96;87.05;0.76;0;
12900;544109;GROSS-ROHRHEIM;Jul 3, 1944;0.96;87.05;0.76;0;
12900;544109;GROSS-ROHRHEIM;Jul 10, 1944;0.97;87.04;0.77;0;
12900;544109;GROSS-ROHRHEIM;Jul 17, 1944;0.99;87.02;0.79;0;
12900;544109;GROSS-ROHRHEIM;Jul 24, 1944;0.99;87.02;0.79;0;
12900;544109;GROSS-ROHRHEIM;Jul 31, 1944;0.99;87.02;0.79;0;
12900;544109;GROSS-ROHRHEIM;Aug 7, 1944;0.98;87.03;0.78;0;
12900;544109;GROSS-ROHRHEIM;Aug 14, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Aug 21, 1944;0.95;87.06;0.75;0;
12900;544109;GROSS-ROHRHEIM;Aug 28, 1944;0.98;87.03;0.78;0;
12900;544109;GROSS-ROHRHEIM;Sep 4, 1944;0.97;87.04;0.77;0;
12900;544109;GROSS-ROHRHEIM;Sep 11, 1944;0.95;87.06;0.75;0;
