Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2522;Karlsruhe;TMK;01.11.1944;30.09.1945;334;Kriegsjahre;eor;                                                                                                                                           
2522;Karlsruhe;TXK;01.11.1944;30.09.1945;334;Kriegsjahre;eor;                                                                                                                                           
2522;Karlsruhe;TNK;01.11.1944;30.09.1945;334;Kriegsjahre;eor;                                                                                                                                           
2522;Karlsruhe;TGK;20.01.1944;20.01.1944;1;Kriegsjahre;eor;                                                                                                                                             
2522;Karlsruhe;TGK;22.01.1944;22.01.1944;1;Kriegsjahre;eor;                                                                                                                                             
2522;Karlsruhe;TGK;04.02.1944;06.02.1944;3;Kriegsjahre;eor;                                                                                                                                             
2522;Karlsruhe;TGK;11.02.1944;12.02.1944;2;Kriegsjahre;eor;                                                                                                                                             
2522;Karlsruhe;TGK;14.02.1944;16.02.1944;3;Kriegsjahre;eor;                                                                                                                                             
2522;Karlsruhe;TGK;21.02.1944;24.02.1944;4;Kriegsjahre;eor;                                                                                                                                             
2522;Karlsruhe;TGK;28.02.1944;28.02.1944;1;Kriegsjahre;eor;                                                                                                                                             
2522;Karlsruhe;TGK;01.03.1944;30.11.1946;1005;Kriegsjahre;eor;                                                                                                                                          
2522;Karlsruhe;TGK;01.01.2002;02.01.2002;2;;eor;                                                                                                                                                        
2522;Karlsruhe;TGK;04.01.2002;05.01.2002;2;;eor;                                                                                                                                                        
2522;Karlsruhe;TGK;07.01.2002;07.01.2002;1;;eor;                                                                                                                                                        
2522;Karlsruhe;TGK;10.01.2002;11.01.2002;2;;eor;                                                                                                                                                        
2522;Karlsruhe;PM;01.11.1944;30.09.1945;334;Kriegsjahre;eor;                                                                                                                                            
2522;Karlsruhe;FM;25.03.1986;25.03.1986;1;;eor;                                                                                                                                                         
2522;Karlsruhe;FM;24.07.1996;24.07.1996;1;;eor;                                                                                                                                                         
2522;Karlsruhe;FM;03.06.1999;03.06.1999;1;;eor;                                                                                                                                                         
2522;Karlsruhe;FM;17.11.1999;24.11.1999;8;;eor;                                                                                                                                                         
2522;Karlsruhe;FM;14.02.2001;15.02.2001;2;;eor;                                                                                                                                                         
2522;Karlsruhe;FM;22.08.2001;22.08.2001;1;;eor;                                                                                                                                                         
2522;Karlsruhe;FM;29.08.2001;31.08.2001;3;;eor;                                                                                                                                                         
2522;Karlsruhe;FM;19.09.2001;30.09.2001;12;;eor;                                                                                                                                                        
2522;Karlsruhe;FM;17.04.2002;24.04.2002;8;;eor;                                                                                                                                                         
2522;Karlsruhe;FX;19.08.1986;25.08.1986;7;;eor;                                                                                                                                                         
2522;Karlsruhe;FX;31.03.1987;31.03.1987;1;;eor;                                                                                                                                                         
2522;Karlsruhe;FX;24.07.1996;31.07.1996;8;;eor;                                                                                                                                                         
2522;Karlsruhe;FX;17.11.1999;24.11.1999;8;;eor;                                                                                                                                                         
2522;Karlsruhe;FX;02.02.2000;02.02.2000;1;;eor;                                                                                                                                                         
2522;Karlsruhe;FX;14.02.2001;14.02.2001;1;;eor;                                                                                                                                                         
2522;Karlsruhe;FX;22.08.2001;22.08.2001;1;;eor;                                                                                                                                                         
