STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4177;19480101;-999;-999;-999;    5;   4.9;   8;    0.000;   0;   8.0;   6.5; 1005.80;    3.4;   86.00;    4.7;    0.3;   -0.2;eor
       4177;19480102;-999;-999;-999;    5;   6.7;   1;    0.000;   0;   7.7;  10.7; 1002.80;   10.2;   87.00;   11.2;    4.2;    3.3;eor
       4177;19480103;-999;-999;-999;    5;   0.3;   1;    0.000;   0;   8.0;  12.5; 1005.40;   11.5;   93.00;   12.2;   10.5;    9.8;eor
       4177;19480104;-999;-999;-999;    5;   0.0;   0;    5.600;   0;   4.7;   9.1; 1000.20;    8.3;   79.00;   12.9;    5.7;    3.3;eor
       4177;19480105;-999;-999;-999;    5;   1.9;   1;    0.900;   0;   6.7;   8.4;  989.00;   10.3;   63.00;   13.8;    2.4;    1.7;eor
       4177;19480106;-999;-999;-999;    5;   3.9;   1;    4.600;   0;   5.0;   5.3;  992.20;    3.9;   69.00;   10.7;    1.4;   -0.2;eor
       4177;19480107;-999;-999;-999;    5;   2.5;   1;    0.000;   0;   6.0;  10.8;  973.60;   11.5;   79.00;   12.2;    3.2;    2.7;eor
       4177;19480108;-999;-999;-999;    5;   1.0;   1;    1.700;   0;   6.7;   6.7;  985.80;    5.0;   75.00;   11.6;    3.3;    2.7;eor
       4177;19480109;-999;-999;-999;    5;   0.5;   1;    6.900;   0;   4.7;   5.5;  995.10;    3.2;   70.00;   11.3;    1.0;   -0.3;eor
       4177;19480110;-999;-999;-999;    5;   0.0;   1;    0.000;   0;   8.0;   7.5;  997.00;    6.8;   73.00;    9.1;    1.0;    0.4;eor
       4177;19480111;-999;-999;-999;    5;   0.0;   0;    1.500;   0;   5.3;   6.8;  998.00;    3.5;   85.00;    9.0;    0.9;   -1.0;eor
       4177;19480112;-999;-999;-999;    5;  10.3;   1;    1.500;   0;   6.7;   9.3;  999.60;    8.5;   84.00;   10.2;    0.4;   -0.5;eor
       4177;19480113;-999;-999;-999;    5;   7.8;   1;    0.000;   0;   8.0;  10.9; 1000.20;   11.0;   84.00;   12.2;    7.8;    6.5;eor
